passer,receiver,x,y,pass_length,pass_angle,pass_outcome,team,pass_count
Adrián Marín Gómez,Jorge Franco Alviz,66.0,26.666666666666668,19.479486666666666,0.9056003,3,Deportivo Alavés,3
Adrián Marín Gómez,Rubén Duarte Sánchez,45.875,6.675000000000001,9.7188835,1.30888473,2,Deportivo Alavés,2
Arthur Henrique Ramos de Oliveira Melo,Arturo Erasmo Vidal Pardo,63.849999999999994,48.900000000000006,21.452505,1.6407753,1,Barcelona,1
Arthur Henrique Ramos de Oliveira Melo,Gerard Piqué Bernabéu,57.775,62.349999999999994,13.5473225,2.0736111,2,Barcelona,2
Arthur Henrique Ramos de Oliveira Melo,Ivan Rakitić,59.849999999999994,27.849999999999998,29.960306,1.8376338,1,Barcelona,1
Arthur Henrique Ramos de Oliveira Melo,Jordi Alba Ramos,63.1,18.25,19.1730955,-1.30166509,3,Barcelona,3
Arthur Henrique Ramos de Oliveira Melo,Luis Alberto Suárez Díaz,104.5,43.975,16.007978,1.0340646,1,Barcelona,2
Arthur Henrique Ramos de Oliveira Melo,Philippe Coutinho Correia,62.0,29.05,20.2013936,-1.05426114,5,Barcelona,5
Arthur Henrique Ramos de Oliveira Melo,Samuel Yves Umtiti,33.325,21.35,13.831584,0.5225531500000001,2,Barcelona,2
Arthur Henrique Ramos de Oliveira Melo,Sergi Roberto Carnicer,44.75,33.65,54.998363,1.7517883,1,Barcelona,1
Arthur Henrique Ramos de Oliveira Melo,Sergio Busquets i Burgos,70.1,33.2,15.6205,1.3382394,1,Barcelona,1
Arturo Erasmo Vidal Pardo,Ivan Rakitić,62.400000000000006,68.6,11.8456745,-1.7748142,1,Barcelona,1
Arturo Erasmo Vidal Pardo,Lionel Andrés Messi Cuccittini,67.23333333333333,70.11666666666667,6.365837533333334,1.7585684,3,Barcelona,3
Arturo Erasmo Vidal Pardo,Sergi Roberto Carnicer,59.03333333333333,67.64999999999999,14.482858333333333,0.46372325000000014,3,Barcelona,3
Borja González Tomás,Jorge Franco Alviz,43.01666666666667,51.98333333333333,9.4219588,-0.5059740366666666,3,Deportivo Alavés,3
Borja González Tomás,Manuel Alejandro García Sánchez,54.4,38.15,11.795338,-2.822523,1,Deportivo Alavés,1
Daniel Alejandro Torres Rojas,Guillermo Alfonso Maripán Loaysa,40.475,23.2,14.6849845,0.40828005,2,Deportivo Alavés,2
Daniel Alejandro Torres Rojas,Ibai Gómez Pérez,69.4,60.0,10.46518,1.1156955,1,Deportivo Alavés,1
Daniel Alejandro Torres Rojas,Jonathan Rodríguez Menéndez,33.925,39.325,12.677994,0.42093571,1,Deportivo Alavés,2
Daniel Alejandro Torres Rojas,Manuel Alejandro García Sánchez,70.85,26.4,9.794386,1.1162809,1,Deportivo Alavés,1
Daniel Alejandro Torres Rojas,Martín Aguirregabiria Padilla,44.400000000000006,63.35,28.561687,1.152572,1,Deportivo Alavés,1
Daniel Alejandro Torres Rojas,Mubarak Wakaso,30.6,60.3,6.0827627,0.8086498,1,Deportivo Alavés,1
Daniel Alejandro Torres Rojas,Rubén Duarte Sánchez,50.6375,19.3,14.179494,-1.680828375,4,Deportivo Alavés,4
Daniel Alejandro Torres Rojas,Rubén Sobrino Pozuelo,47.125,33.050000000000004,20.559984999999998,0.159086539,1,Deportivo Alavés,2
Fernando Pacheco Flores,Borja González Tomás,42.1,46.650000000000006,63.961315,0.59971064,1,Deportivo Alavés,1
Fernando Pacheco Flores,Daniel Alejandro Torres Rojas,21.15,36.95,11.717508,-0.37575206,1,Deportivo Alavés,1
Fernando Pacheco Flores,Guillermo Alfonso Maripán Loaysa,14.033333333333333,32.81666666666667,19.527408333333334,-1.1614567333333332,3,Deportivo Alavés,3
Fernando Pacheco Flores,Ibai Gómez Pérez,48.1,55.25,62.13413,0.3843916,1,Deportivo Alavés,1
Fernando Pacheco Flores,Manuel Alejandro García Sánchez,37.325,25.450000000000003,65.82057599999999,-0.332320415,2,Deportivo Alavés,2
Fernando Pacheco Flores,Martín Aguirregabiria Padilla,22.9,59.9,43.993637,0.96640176,1,Deportivo Alavés,1
Fernando Pacheco Flores,Mubarak Wakaso,35.25,55.125,60.661213000000004,0.371676195,1,Deportivo Alavés,2
Fernando Pacheco Flores,Rubén Duarte Sánchez,32.9,20.599999999999998,43.440994,-0.56884784,0,Deportivo Alavés,1
Fernando Pacheco Flores,Rubén Sobrino Pozuelo,42.05,30.225,71.482362,-0.344195115,1,Deportivo Alavés,2
Fernando Pacheco Flores,Víctor Laguardia Cisneros,14.35,63.5,22.610838,1.2420529,1,Deportivo Alavés,1
Gerard Piqué Bernabéu,Arturo Erasmo Vidal Pardo,42.4,47.35,16.484236,1.0501453,1,Barcelona,1
Gerard Piqué Bernabéu,Ivan Rakitić,50.059090909090905,46.74545454545455,21.710948490909093,-0.8416400263636364,11,Barcelona,11
Gerard Piqué Bernabéu,Jordi Alba Ramos,76.28,31.419999999999998,50.2878238,-1.40324154,5,Barcelona,5
Gerard Piqué Bernabéu,Lionel Andrés Messi Cuccittini,68.97500000000001,59.699999999999996,18.264433166666667,0.5001550933333333,6,Barcelona,6
Gerard Piqué Bernabéu,Luis Alberto Suárez Díaz,78.0,59.5,12.433825,-0.194241,1,Barcelona,1
Gerard Piqué Bernabéu,Marc-André ter Stegen,13.975,55.6375,21.7004585,-2.1872703,4,Barcelona,4
Gerard Piqué Bernabéu,Nélson Cabral Semedo,70.475,61.575,18.78924125,1.020746925,4,Barcelona,4
Gerard Piqué Bernabéu,Ousmane Dembélé,81.0,37.05,54.677326,-0.8903428,1,Barcelona,1
Gerard Piqué Bernabéu,Philippe Coutinho Correia,58.05,44.349999999999994,20.7952385,-0.42448879999999994,2,Barcelona,2
Gerard Piqué Bernabéu,Samuel Yves Umtiti,43.949999999999996,41.81578947368421,24.17872152631579,-1.6242355052631579,19,Barcelona,19
Gerard Piqué Bernabéu,Sergi Roberto Carnicer,64.79583333333333,58.3375,13.291461125,0.37540460558333333,12,Barcelona,12
Gerard Piqué Bernabéu,Sergio Busquets i Burgos,55.404999999999994,46.03,15.093910500000002,-1.055502456,10,Barcelona,10
Guillermo Alfonso Maripán Loaysa,Daniel Alejandro Torres Rojas,35.9,24.925,13.8284335,-0.306058335,2,Deportivo Alavés,2
Guillermo Alfonso Maripán Loaysa,Fernando Pacheco Flores,17.25,34.166666666666664,19.799524233333333,0.7456052000000001,3,Deportivo Alavés,3
Guillermo Alfonso Maripán Loaysa,Ibai Gómez Pérez,19.75,45.1,16.062689,0.38281852,1,Deportivo Alavés,1
Guillermo Alfonso Maripán Loaysa,Jorge Franco Alviz,40.2,20.5,25.0032,0.015998635,1,Deportivo Alavés,1
Guillermo Alfonso Maripán Loaysa,Manuel Alejandro García Sánchez,38.45,27.85,10.400962,0.5800028,1,Deportivo Alavés,1
Guillermo Alfonso Maripán Loaysa,Rubén Duarte Sánchez,32.949999999999996,17.8,20.597334,-1.2057317,3,Deportivo Alavés,3
