player,team,minute,second,x,y,shot_distance,shot_angle,shot_type,body_part,goal_scored,xG
Lionel Andrés Messi Cuccittini,Barcelona,2,29,111.5,52.9,120.0,0.07699243,Open Play,Right Foot,False,0.07699243
Jordi Alba Ramos,Barcelona,5,39,113.9,26.4,120.0,0.05166811,Open Play,Left Foot,False,0.05166811
Lionel Andrés Messi Cuccittini,Barcelona,15,29,93.7,34.7,117.5,0.016932096,Open Play,Left Foot,False,0.016932096
Rubén Sobrino Pozuelo,Deportivo Alavés,16,20,109.2,39.1,120.0,0.1226044,Open Play,Head,False,0.1226044
Luis Alberto Suárez Díaz,Barcelona,18,16,107.8,24.7,120.0,0.041750744,Open Play,Right Foot,False,0.041750744
Ousmane Dembélé,Barcelona,30,42,108.6,27.8,120.0,0.07606251,Open Play,Left Foot,False,0.07606251
Ivan Rakitić,Barcelona,35,5,112.5,41.7,120.0,0.11251298,Open Play,Head,False,0.11251298
Lionel Andrés Messi Cuccittini,Barcelona,37,28,96.5,52.6,120.0,0.049073674,Free Kick,Left Foot,False,0.049073674
Gerard Piqué Bernabéu,Barcelona,37,31,112.4,41.0,120.0,0.11562012,Open Play,Head,False,0.11562012
Ousmane Dembélé,Barcelona,38,28,102.5,30.1,112.5,0.12335509,Open Play,Right Foot,False,0.12335509
Luis Alberto Suárez Díaz,Barcelona,40,35,110.0,27.7,119.3,0.14326301,Open Play,Right Foot,False,0.14326301
Ousmane Dembélé,Barcelona,43,31,106.1,32.6,120.0,0.082343094,Open Play,Right Foot,False,0.082343094
Jordi Alba Ramos,Barcelona,47,39,116.5,31.2,117.6,0.21425198,Open Play,Left Foot,False,0.21425198
Mubarak Wakaso,Deportivo Alavés,51,7,105.6,23.9,109.9,0.028696904,Open Play,Left Foot,False,0.028696904
Luis Alberto Suárez Díaz,Barcelona,53,54,110.3,25.3,114.8,0.043024756,Open Play,Right Foot,False,0.043024756
Philippe Coutinho Correia,Barcelona,54,56,94.9,26.3,98.5,0.021350343,Open Play,Right Foot,False,0.021350343
Jordi Alba Ramos,Barcelona,55,34,106.7,26.5,108.1,0.055739872,Open Play,Left Foot,False,0.055739872
Lionel Andrés Messi Cuccittini,Barcelona,57,21,100.0,57.4,120.0,0.024773644,Open Play,Left Foot,False,0.024773644
Philippe Coutinho Correia,Barcelona,60,36,100.0,27.6,101.5,0.02619064,Open Play,Right Foot,False,0.02619064
Lionel Andrés Messi Cuccittini,Barcelona,63,12,97.8,45.4,120.0,0.08320293,Free Kick,Left Foot,True,0.08320293
Lionel Andrés Messi Cuccittini,Barcelona,65,43,106.3,47.0,120.0,0.069850795,Open Play,Left Foot,False,0.069850795
Ivan Rakitić,Barcelona,68,33,88.5,41.2,101.5,0.015054672,Open Play,Right Foot,False,0.015054672
Luis Alberto Suárez Díaz,Barcelona,72,27,108.4,30.2,115.2,0.26157838,Open Play,Left Foot,False,0.26157838
Adrián Marín Gómez,Deportivo Alavés,78,17,114.5,32.8,120.0,0.14080831,Open Play,Right Foot,False,0.14080831
Philippe Coutinho Correia,Barcelona,81,31,113.2,31.4,115.9,0.33453467,Open Play,Right Foot,False,0.33453467
Philippe Coutinho Correia,Barcelona,82,41,105.3,33.4,120.0,0.10534308,Open Play,Right Foot,True,0.10534308
Lionel Andrés Messi Cuccittini,Barcelona,89,22,106.6,46.8,115.7,0.09483012,Open Play,Left Foot,False,0.09483012
Lionel Andrés Messi Cuccittini,Barcelona,91,43,111.5,36.2,120.0,0.42062446,Open Play,Left Foot,True,0.42062446
